alert_id,alert_text,disaster_type,affected_region,source,date
IMD_2025_133,"Very Severe Cyclonic Storm detected over Arabian Sea during 2025, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Very Severe Cyclonic Storm,Arabian Sea,IMD RSMC,2025-06-01
IMD_2025_134,"Very Severe Cyclonic Storm detected over Arabian Sea during 2025, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Very Severe Cyclonic Storm,Arabian Sea,IMD RSMC,2025-06-01
IMD_2025_135,"Extremely Severe Cyclonic Storm detected over Arabian Sea during 2025, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Extremely Severe Cyclonic Storm,Arabian Sea,IMD RSMC,2025-06-01
IMD_2025_136,"Extremely Severe Cyclonic Storm detected over Arabian Sea during 2025, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Extremely Severe Cyclonic Storm,Arabian Sea,IMD RSMC,2025-06-01
IMD_2025_137,"Super Cyclonic Storm detected over Bay of Bengal during 2025, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Super Cyclonic Storm,Bay of Bengal,IMD RSMC,2025-06-01
IMD_2025_138,"Super Cyclonic Storm detected over Bay of Bengal during 2025, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Super Cyclonic Storm,Bay of Bengal,IMD RSMC,2025-06-01
IMD_2025_139,"Depression detected over Bay of Bengal during 2025, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Depression,Bay of Bengal,IMD RSMC,2025-06-01
IMD_2025_140,"Depression detected over Bay of Bengal during 2025, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Depression,Bay of Bengal,IMD RSMC,2025-06-01
IMD_2025_141,"Deep Depression detected over Arabian Sea during 2025, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Deep Depression,Arabian Sea,IMD RSMC,2025-06-01
IMD_2025_142,"Deep Depression detected over Arabian Sea during 2025, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Deep Depression,Arabian Sea,IMD RSMC,2025-06-01
IMD_2025_143,"Land Depression detected over Central India during 2025, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Land Depression,Central India,IMD RSMC,2025-06-01
IMD_2025_144,"Land Depression detected over Central India during 2025, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Land Depression,Central India,IMD RSMC,2025-06-01
IMD_2025_X145,"Depression over northwest Bay of Bengal likely to intensify, causing heavy rainfall and squally winds. Fishermen advised not to venture into sea.",Depression,Northwest Bay of Bengal,IMD RSMC,2025-07-01
IMD_2025_X146,"Depression over northwest Bay of Bengal likely to intensify, causing heavy rainfall and squally winds. Fishermen advised not to venture into sea.",Depression,Northwest Bay of Bengal,IMD RSMC,2025-07-01
IMD_2025_X147,"Depression over northwest Bay of Bengal likely to intensify, causing heavy rainfall and squally winds. Fishermen advised not to venture into sea.",Depression,Northwest Bay of Bengal,IMD RSMC,2025-07-01
IMD_2025_X148,"Depression over northwest Bay of Bengal likely to intensify, causing heavy rainfall and squally winds. Fishermen advised not to venture into sea.",Depression,Northwest Bay of Bengal,IMD RSMC,2025-07-01
IMD_2025_X149,"Depression over northwest Bay of Bengal likely to intensify, causing heavy rainfall and squally winds. Fishermen advised not to venture into sea.",Depression,Northwest Bay of Bengal,IMD RSMC,2025-07-01
IMD_2025_X150,"Depression over northwest Bay of Bengal likely to intensify, causing heavy rainfall and squally winds. Fishermen advised not to venture into sea.",Depression,Northwest Bay of Bengal,IMD RSMC,2025-07-01
